28-11-2023 14:09:02

Mouse ID: ,1
DoB: ,1
isKO (1 = LgDel): ,1
Stim side (1 = right): ,0
Visual stim leading to social stim (0 = grid & 1 = lines): ,1

Timestamp,Trial,Effortlevel_S,Effortlevel_NS,Prechoicesocial,SocialStimSide,ChosenStimSide,SocialChosen,Init2touch,Touch2reward,RecInteractionTime,UniInteractionTime,NoInteractionTime,Dark
10.34538221359253,1,0,1,1,0,nan,nan,nan,nan,nan,nan,nan,0
25.412636756896973,2,3,1,1,0,nan,nan,nan,nan,nan,nan,nan,0
40.48048233985901,3,3,0,1,1,nan,nan,nan,nan,nan,nan,nan,0
55.55602717399597,4,3,0,1,0,nan,nan,nan,nan,nan,nan,nan,0
