03-11-2023 13:11:50

Mouse ID: ,1
DoB: ,1
isKO (1 = LgDel): ,1
Stim side (1 = right): ,0
Visual stim leading to social stim (0 = grid & 1 = lines): ,1

Timestamp,Trial,Prechoicesocial,SocialStimSide,ChosenStimSide,SocialChosen,Init2touch,Touch2reward,RecInteractionTime,UniInteractionTime,NoInteractionTime,Dark
15.900459051132202,1,1,0,nan,nan,nan,nan,nan,nan,nan,0
50.974326848983765,2,1,0,nan,nan,nan,nan,nan,nan,nan,0
86.04829406738281,3,1,1,nan,nan,nan,nan,nan,nan,nan,0
121.12982678413391,4,1,0,nan,nan,nan,nan,nan,nan,nan,0
555.5462896823883,5,1,1,1,1,7.284678936004639,5.331207513809204,0,4.091462135314941,2.908395528793335,0
641.4110519886017,6,0,1,0,0,6.31896448135376,5.8631463050842285,3.5710699558258057,0,3.4289357662200928,0
807.7398219108582,7,1,1,0,0,3.59981369972229,3.208784341812134,2.8218703269958496,0,4.1780102252960205,0
827.13751912117,8,1,0,0,1,4.035218715667725,3.745577096939087,0,1.7833976745605469,5.216585397720337,0
852.5617940425873,9,1,1,0,0,19.883965253829956,2.66603946685791,4.864346265792847,0,2.1332509517669678,0
912.9718420505524,10,1,0,0,1,17.85703730583191,2.6696438789367676,0,4.9622557163238525,2.037609100341797,0
951.1401417255402,11,1,0,0,1,14.300736665725708,2.1453850269317627,0,1.5362963676452637,5.463685512542725,0
980.178581237793,12,1,1,1,1,9.189520120620728,2.6711997985839844,0,1.7157771587371826,5.284273147583008,0
1014.7359929084778,13,1,0,0,1,14.048178911209106,2.6751694679260254,0,2.208954095840454,4.79090428352356,0
1044.0472276210785,14,0,1,0,0,15.678163766860962,2.66790509223938,1.4449591636657715,0,5.555021524429321,0
1085.0916364192963,15,0,1,0,0,5.49123215675354,4.265901327133179,1.7193434238433838,0,5.280514240264893,0
1107.4406955242157,16,0,0,1,0,3.929781675338745,3.7242650985717773,1.2503907680511475,0,5.7494659423828125,0
1178.2344148159027,17,1,1,1,1,16.187472343444824,2.6810600757598877,0,3.4455175399780273,3.5543155670166016,0
1214.75212931633,18,1,1,0,0,26.85432195663452,2.6692309379577637,1.302299976348877,0,5.6975579261779785,0
1256.8619630336761,19,0,0,1,0,5.881361484527588,5.327701091766357,1.6982855796813965,0,5.301697492599487,0
1290.7703576087952,20,1,0,0,1,4.765897989273071,2.665598154067993,0,1.3213584423065186,5.678490877151489,0
